id_pedido,id_producto,nombre_producto,categoria,id_proveedor,nombre_proveedor,cantidad_solicitada,estado_pedido,fecha_pedido,fecha_entrega,numero_factura
46,22,"Zinc 50mg x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",81,en proceso,"2024-09-14 19:15:37","2024-10-01 19:15:37",""
47,8,"Ketorolaco 10mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",72,entregado,"2024-11-15 03:14:01","2024-11-21 03:14:01","FAC-000047"
48,11,"Ciprofloxacino 500mg x10","Antibiótico",5,"Genfar S.A - Grupo Sanofi",30,aceptado,"2025-08-13 19:26:31","",""
49,2,"Ibuprofeno 400mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",40,aceptado,"2023-05-06 21:39:18","",""
50,29,"Hilo dental 50m","Cuidado personal",7,"Bayer S.A Colombia",73,en proceso,"2025-01-07 03:51:10","2025-01-15 03:51:10",""
51,21,"Calcio + Vitamina D x60","Vitaminas y suplementos",6,"Tecnoquímicas S.A",36,entregado,"2024-01-14 20:43:29","2024-01-24 20:43:29","FAC-000051"
52,28,"Jabón antibacterial 250ml","Cuidado personal",7,"Bayer S.A Colombia",64,aceptado,"2023-05-07 00:49:49","",""
53,17,"Vitamina C 1000mg x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",19,aceptado,"2024-04-11 17:37:39","",""
54,41,"Lubricante Durex Play 50ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",37,en proceso,"2025-11-25 21:16:19","2025-12-08 21:16:19",""
55,43,"Lubricante Pjur Original 30ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",90,entregado,"2023-02-27 06:03:53","2023-03-05 06:03:53","FAC-000055"
56,7,"Tramadol 50mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",86,aceptado,"2025-08-11 05:21:56","",""
57,36,"Condón Prudence Fresa x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",29,entregado,"2025-12-13 19:17:27","2025-12-16 19:17:27","FAC-000057"
58,38,"Condón Lifestyles Ultra x12","Condones",8,"Distribuidora Íntima de Colombia S.A.S",50,entregado,"2024-11-16 05:44:10","2024-11-23 05:44:10","FAC-000058"
59,6,"Meloxicam 15mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",54,entregado,"2023-01-27 20:16:24","2023-02-01 20:16:24","FAC-000059"
60,12,"Metronidazol 500mg x14","Antibiótico",5,"Genfar S.A - Grupo Sanofi",55,en proceso,"2025-02-04 22:44:45","2025-02-11 22:44:45",""
61,2,"Ibuprofeno 400mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",67,en proceso,"2025-10-24 10:48:20","2025-11-05 10:48:20",""
62,41,"Lubricante Durex Play 50ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",27,entregado,"2025-10-23 09:55:50","2025-10-28 09:55:50","FAC-000062"
63,45,"Lubricante Yes OB Natural 80ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",49,entregado,"2025-03-19 22:50:50","2025-03-26 22:50:50","FAC-000063"
64,13,"Clindamicina 300mg x16","Antibiótico",5,"Genfar S.A - Grupo Sanofi",80,entregado,"2024-04-28 18:39:57","2024-05-09 18:39:57","FAC-000064"
65,32,"Gel antibacterial 500ml","Cuidado personal",7,"Bayer S.A Colombia",94,entregado,"2024-10-28 05:40:43","2024-11-01 05:40:43","FAC-000065"
66,38,"Condón Lifestyles Ultra x12","Condones",8,"Distribuidora Íntima de Colombia S.A.S",85,entregado,"2024-09-26 23:04:44","2024-10-01 23:04:44","FAC-000066"
67,18,"Vitamina D3 2000UI x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",69,aceptado,"2023-12-28 06:26:29","",""
68,45,"Lubricante Yes OB Natural 80ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",46,entregado,"2025-07-14 06:10:57","2025-07-20 06:10:57","FAC-000068"
69,48,"Lubricante Control Aqua 75ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",45,en proceso,"2024-01-24 19:01:18","2024-02-05 19:01:18",""
70,4,"Aspirina 100mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",32,entregado,"2025-01-13 03:44:17","2025-01-24 03:44:17","FAC-000070"
71,6,"Meloxicam 15mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",45,entregado,"2023-01-02 15:09:58","2023-01-07 15:09:58","FAC-000071"
72,29,"Hilo dental 50m","Cuidado personal",7,"Bayer S.A Colombia",54,aceptado,"2025-08-28 18:58:22","",""
73,32,"Gel antibacterial 500ml","Cuidado personal",7,"Bayer S.A Colombia",92,en proceso,"2024-02-02 17:54:20","2024-02-21 17:54:20",""
74,37,"Condón Control Retard x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",17,entregado,"2024-05-24 17:21:12","2024-06-08 17:21:12","FAC-000074"
75,19,"Complejo B x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",65,aceptado,"2025-09-13 23:41:36","",""
76,6,"Meloxicam 15mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",14,entregado,"2024-03-09 16:25:50","2024-03-20 16:25:50","FAC-000076"
77,16,"Doxiciclina 100mg x10","Antibiótico",5,"Genfar S.A - Grupo Sanofi",15,entregado,"2023-10-10 08:44:21","2023-10-16 08:44:21","FAC-000077"
78,26,"Shampoo anticaspa 400ml","Cuidado personal",7,"Bayer S.A Colombia",36,entregado,"2025-06-13 03:21:23","2025-06-18 03:21:23","FAC-000078"
79,25,"Protector solar SPF 50 50ml","Cuidado personal",7,"Bayer S.A Colombia",76,en proceso,"2025-02-07 23:09:07","2025-02-15 23:09:07",""
80,13,"Clindamicina 300mg x16","Antibiótico",5,"Genfar S.A - Grupo Sanofi",38,en proceso,"2024-03-07 15:46:22","2024-03-22 15:46:22",""
81,16,"Doxiciclina 100mg x10","Antibiótico",5,"Genfar S.A - Grupo Sanofi",18,entregado,"2024-06-28 16:18:59","2024-07-06 16:18:59","FAC-000081"
82,20,"Omega 3 1000mg x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",42,entregado,"2025-12-09 15:38:02","2025-12-22 15:38:02","FAC-000082"
83,26,"Shampoo anticaspa 400ml","Cuidado personal",7,"Bayer S.A Colombia",46,entregado,"2024-03-03 01:41:53","2024-03-09 01:41:53","FAC-000083"
84,46,"Lubricante Vive Sensitivo 50ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",94,en proceso,"2025-10-31 20:14:15","2025-11-17 20:14:15",""
85,30,"Crema dental blanqueadora 75ml","Cuidado personal",7,"Bayer S.A Colombia",25,entregado,"2024-09-15 22:18:51","2024-09-19 22:18:51","FAC-000085"
86,25,"Protector solar SPF 50 50ml","Cuidado personal",7,"Bayer S.A Colombia",86,entregado,"2025-05-09 23:33:35","2025-05-22 23:33:35","FAC-000086"
87,19,"Complejo B x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",45,en proceso,"2025-07-18 17:48:27","2025-07-28 17:48:27",""
88,34,"Condón Durex Extra Fino x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",13,entregado,"2025-10-20 16:43:29","2025-10-31 16:43:29","FAC-000088"
89,12,"Metronidazol 500mg x14","Antibiótico",5,"Genfar S.A - Grupo Sanofi",65,entregado,"2025-10-05 15:10:11","2025-10-10 15:10:11","FAC-000089"
90,21,"Calcio + Vitamina D x60","Vitaminas y suplementos",6,"Tecnoquímicas S.A",37,entregado,"2023-05-17 02:11:01","2023-05-26 02:11:01","FAC-000090"
91,14,"Claritromicina 500mg x14","Antibiótico",5,"Genfar S.A - Grupo Sanofi",72,en proceso,"2025-03-03 09:27:40","2025-03-09 09:27:40",""
92,13,"Clindamicina 300mg x16","Antibiótico",5,"Genfar S.A - Grupo Sanofi",54,entregado,"2025-04-06 10:51:58","2025-04-09 10:51:58","FAC-000092"
93,48,"Lubricante Control Aqua 75ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",48,entregado,"2024-06-08 00:39:46","2024-06-12 00:39:46","FAC-000093"
94,34,"Condón Durex Extra Fino x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",71,entregado,"2024-08-17 07:36:12","2024-08-20 07:36:12","FAC-000094"
95,34,"Condón Durex Extra Fino x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",93,en proceso,"2023-11-21 10:10:42","2023-11-27 10:10:42",""
96,16,"Doxiciclina 100mg x10","Antibiótico",5,"Genfar S.A - Grupo Sanofi",15,entregado,"2024-02-14 15:47:51","2024-02-22 15:47:51","FAC-000096"
97,45,"Lubricante Yes OB Natural 80ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",63,en proceso,"2025-09-29 11:57:22","2025-10-11 11:57:22",""
98,6,"Meloxicam 15mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",63,entregado,"2024-10-28 17:53:06","2024-10-31 17:53:06","FAC-000098"
99,26,"Shampoo anticaspa 400ml","Cuidado personal",7,"Bayer S.A Colombia",44,entregado,"2023-07-02 17:09:09","2023-07-17 17:09:09","FAC-000099"
100,13,"Clindamicina 300mg x16","Antibiótico",5,"Genfar S.A - Grupo Sanofi",81,entregado,"2023-06-01 18:10:30","2023-06-12 18:10:30","FAC-000100"
101,34,"Condón Durex Extra Fino x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",59,entregado,"2023-12-21 04:49:23","2024-01-03 04:49:23","FAC-000101"
102,9,"Amoxicilina 500mg x21","Antibiótico",5,"Genfar S.A - Grupo Sanofi",66,entregado,"2025-08-30 23:18:33","2025-09-02 23:18:33","FAC-000102"
103,12,"Metronidazol 500mg x14","Antibiótico",5,"Genfar S.A - Grupo Sanofi",15,entregado,"2024-06-23 23:42:29","2024-07-03 23:42:29","FAC-000103"
104,14,"Claritromicina 500mg x14","Antibiótico",5,"Genfar S.A - Grupo Sanofi",83,entregado,"2024-06-15 12:38:56","2024-06-28 12:38:56","FAC-000104"
105,38,"Condón Lifestyles Ultra x12","Condones",8,"Distribuidora Íntima de Colombia S.A.S",32,entregado,"2024-09-10 03:13:14","2024-09-23 03:13:14","FAC-000105"
106,18,"Vitamina D3 2000UI x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",76,aceptado,"2025-10-04 20:53:17","",""
107,19,"Complejo B x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",77,entregado,"2025-11-10 02:10:08","2025-11-17 02:10:08","FAC-000107"
108,31,"Desodorante roll-on 50ml","Cuidado personal",7,"Bayer S.A Colombia",38,entregado,"2025-10-11 15:24:03","2025-10-23 15:24:03","FAC-000108"
109,22,"Zinc 50mg x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",43,entregado,"2025-01-05 13:56:36","2025-01-09 13:56:36","FAC-000109"
110,27,"Crema hidratante facial 50ml","Cuidado personal",7,"Bayer S.A Colombia",76,entregado,"2024-02-01 05:27:56","2024-02-06 05:27:56","FAC-000110"
111,44,"Lubricante Nuei Delay 100ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",11,aceptado,"2023-04-25 00:59:16","",""
112,14,"Claritromicina 500mg x14","Antibiótico",5,"Genfar S.A - Grupo Sanofi",25,en proceso,"2023-06-19 21:36:49","2023-06-27 21:36:49",""
113,34,"Condón Durex Extra Fino x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",49,entregado,"2024-03-01 15:48:03","2024-03-11 15:48:03","FAC-000113"
114,42,"Lubricante Íntimo KY 75ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",47,entregado,"2024-03-09 07:15:28","2024-03-12 07:15:28","FAC-000114"
115,48,"Lubricante Control Aqua 75ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",70,entregado,"2025-01-31 05:16:00","2025-02-05 05:16:00","FAC-000115"
116,44,"Lubricante Nuei Delay 100ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",35,entregado,"2023-09-29 11:49:27","2023-10-05 11:49:27","FAC-000116"
117,25,"Protector solar SPF 50 50ml","Cuidado personal",7,"Bayer S.A Colombia",43,entregado,"2024-02-13 08:08:24","2024-02-28 08:08:24","FAC-000117"
118,18,"Vitamina D3 2000UI x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",33,en proceso,"2023-03-25 22:37:44","2023-04-04 22:37:44",""
119,4,"Aspirina 100mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",77,entregado,"2025-11-10 05:35:30","2025-11-15 05:35:30","FAC-000119"
120,38,"Condón Lifestyles Ultra x12","Condones",8,"Distribuidora Íntima de Colombia S.A.S",35,aceptado,"2023-01-27 21:39:51","",""
121,46,"Lubricante Vive Sensitivo 50ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",62,entregado,"2023-08-16 15:44:45","2023-08-22 15:44:45","FAC-000121"
122,10,"Azitromicina 500mg x3","Antibiótico",5,"Genfar S.A - Grupo Sanofi",88,en proceso,"2024-02-06 05:38:18","2024-02-21 05:38:18",""
123,7,"Tramadol 50mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",37,aceptado,"2023-03-09 09:36:03","",""
124,37,"Condón Control Retard x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",81,en proceso,"2024-12-24 02:13:12","2025-01-10 02:13:12",""
125,46,"Lubricante Vive Sensitivo 50ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",49,entregado,"2025-05-22 20:27:43","2025-05-29 20:27:43","FAC-000125"
126,41,"Lubricante Durex Play 50ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",91,entregado,"2023-04-23 07:49:41","2023-04-28 07:49:41","FAC-000126"
127,39,"Condón Vive Placer Real x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",97,entregado,"2024-10-14 10:24:36","2024-10-19 10:24:36","FAC-000127"
128,20,"Omega 3 1000mg x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",82,aceptado,"2024-04-21 15:28:26","",""
129,34,"Condón Durex Extra Fino x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",25,entregado,"2023-12-05 20:58:52","2023-12-09 20:58:52","FAC-000129"
130,36,"Condón Prudence Fresa x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",34,aceptado,"2025-07-28 06:16:04","",""
131,48,"Lubricante Control Aqua 75ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",21,aceptado,"2023-07-04 14:03:28","",""
132,8,"Ketorolaco 10mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",14,entregado,"2023-04-23 17:45:23","2023-04-27 17:45:23","FAC-000132"
133,15,"Cefalexina 500mg x20","Antibiótico",5,"Genfar S.A - Grupo Sanofi",56,en proceso,"2025-11-28 12:19:50","2025-12-15 12:19:50",""
134,26,"Shampoo anticaspa 400ml","Cuidado personal",7,"Bayer S.A Colombia",32,en proceso,"2024-01-04 21:36:41","2024-01-16 21:36:41",""
135,18,"Vitamina D3 2000UI x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",63,entregado,"2025-09-20 04:41:50","2025-09-26 04:41:50","FAC-000135"
136,8,"Ketorolaco 10mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",11,en proceso,"2023-07-02 10:32:58","2023-07-07 10:32:58",""
137,25,"Protector solar SPF 50 50ml","Cuidado personal",7,"Bayer S.A Colombia",89,entregado,"2023-07-16 08:14:17","2023-07-19 08:14:17","FAC-000137"
138,46,"Lubricante Vive Sensitivo 50ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",45,entregado,"2024-04-04 11:19:15","2024-04-14 11:19:15","FAC-000138"
139,21,"Calcio + Vitamina D x60","Vitaminas y suplementos",6,"Tecnoquímicas S.A",45,en proceso,"2024-08-19 11:33:51","2024-08-25 11:33:51",""
140,6,"Meloxicam 15mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",56,entregado,"2024-07-05 00:06:38","2024-07-19 00:06:38","FAC-000140"
141,4,"Aspirina 100mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",41,entregado,"2023-01-24 06:59:49","2023-01-29 06:59:49","FAC-000141"
142,23,"Hierro + Ácido Fólico x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",53,entregado,"2025-12-28 15:22:07","2025-12-31 15:22:07","FAC-000142"
143,40,"Condón Protex x12","Condones",8,"Distribuidora Íntima de Colombia S.A.S",10,entregado,"2024-01-03 14:04:41","2024-01-17 14:04:41","FAC-000143"
144,26,"Shampoo anticaspa 400ml","Cuidado personal",7,"Bayer S.A Colombia",82,entregado,"2024-05-06 01:49:40","2024-05-19 01:49:40","FAC-000144"
145,48,"Lubricante Control Aqua 75ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",25,entregado,"2025-10-12 09:23:07","2025-10-25 09:23:07","FAC-000145"
146,7,"Tramadol 50mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",51,aceptado,"2025-12-17 23:33:19","",""
147,4,"Aspirina 100mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",22,entregado,"2025-02-13 05:02:43","2025-02-28 05:02:43","FAC-000147"
148,25,"Protector solar SPF 50 50ml","Cuidado personal",7,"Bayer S.A Colombia",55,entregado,"2025-10-18 08:31:31","2025-10-23 08:31:31","FAC-000148"
149,17,"Vitamina C 1000mg x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",61,en proceso,"2024-01-08 21:02:34","2024-01-25 21:02:34",""
150,33,"Condón Durex Natural x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",52,entregado,"2024-08-08 19:13:54","2024-08-21 19:13:54","FAC-000150"
151,23,"Hierro + Ácido Fólico x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",73,aceptado,"2023-06-19 13:45:57","",""
152,25,"Protector solar SPF 50 50ml","Cuidado personal",7,"Bayer S.A Colombia",64,entregado,"2023-08-03 16:12:37","2023-08-14 16:12:37","FAC-000152"
153,29,"Hilo dental 50m","Cuidado personal",7,"Bayer S.A Colombia",88,entregado,"2023-06-16 16:59:14","2023-06-26 16:59:14","FAC-000153"
154,41,"Lubricante Durex Play 50ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",45,entregado,"2024-07-14 09:53:53","2024-07-27 09:53:53","FAC-000154"
155,13,"Clindamicina 300mg x16","Antibiótico",5,"Genfar S.A - Grupo Sanofi",70,aceptado,"2025-01-23 13:46:58","",""
156,23,"Hierro + Ácido Fólico x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",27,en proceso,"2025-12-28 15:43:16","2026-01-05 15:43:16",""
157,7,"Tramadol 50mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",42,en proceso,"2025-12-29 00:58:06","2026-01-04 00:58:06",""
158,39,"Condón Vive Placer Real x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",76,entregado,"2025-03-26 06:09:29","2025-04-10 06:09:29","FAC-000158"
159,19,"Complejo B x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",35,aceptado,"2023-10-23 08:31:12","",""
160,48,"Lubricante Control Aqua 75ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",15,entregado,"2025-02-25 18:20:43","2025-03-11 18:20:43","FAC-000160"
161,34,"Condón Durex Extra Fino x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",42,entregado,"2024-01-26 21:42:02","2024-02-04 21:42:02","FAC-000161"
162,45,"Lubricante Yes OB Natural 80ml","Lubricantes",9,"Laboratorios Siegfried Colombia S.A",52,entregado,"2025-03-13 19:23:03","2025-03-26 19:23:03","FAC-000162"
163,8,"Ketorolaco 10mg x10","Analgésico",4,"Laboratorios Lafrancol S.A.S",70,entregado,"2024-09-05 15:00:53","2024-09-18 15:00:53","FAC-000163"
164,39,"Condón Vive Placer Real x3","Condones",8,"Distribuidora Íntima de Colombia S.A.S",47,en proceso,"2025-06-05 19:46:45","2025-06-13 19:46:45",""
165,10,"Azitromicina 500mg x3","Antibiótico",5,"Genfar S.A - Grupo Sanofi",97,entregado,"2024-02-07 11:23:29","2024-02-17 11:23:29","FAC-000165"
166,19,"Complejo B x30","Vitaminas y suplementos",6,"Tecnoquímicas S.A",40,entregado,"2023-11-02 01:34:04","2023-11-06 01:34:04","FAC-000166"
